[2025-10-23T12:03:12.268Z] ERROR: Validation failed [{"type":"field","value":"12345678","msg":"Password must contain at least one lowercase letter, one uppercase letter, and one number","path":"password","location":"body"}]
[2025-10-23T12:14:42.023Z] ERROR: Login Validation failed [{"type":"field","value":"","msg":"Email or username is required","path":"identifier","location":"body"}]
[2025-10-23T13:02:44.244Z] ERROR: User not found
[2025-10-23T13:02:44.245Z] ERROR: User authentication failed
[2025-10-23T13:02:44.247Z] ERROR: Login error
[2025-10-23T13:03:31.852Z] ERROR: User not found
[2025-10-23T13:03:31.853Z] ERROR: User authentication failed
[2025-10-23T13:03:31.855Z] ERROR: Login error
[2025-10-23T23:21:49.556Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-23T23:21:49.565Z] ERROR: Failed to save log {"errors":{"userId":{"name":"ValidatorError","message":"Path `userId` is required.","properties":{"message":"Path `userId` is required.","type":"required","path":"userId","value":null},"kind":"required","path":"userId","value":null}},"_message":"log validation failed","name":"ValidationError","message":"log validation failed: userId: Path `userId` is required."}
[2025-10-24T00:13:33.772Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.856Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.897Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.987Z] ERROR: Redis Client Error
[2025-10-24T00:13:33.991Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.133Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.137Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.294Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.299Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.478Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.481Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.704Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.707Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.984Z] ERROR: Redis Client Error
[2025-10-24T00:13:34.985Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.309Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.311Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.676Z] ERROR: Redis Client Error
[2025-10-24T00:13:35.680Z] ERROR: Redis Client Error
[2025-10-24T00:13:36.091Z] ERROR: Redis Client Error {"errno":-4077,"code":"ECONNRESET","syscall":"read"}
[2025-10-24T00:13:36.094Z] ERROR: Redis Client Error {"errno":-4077,"code":"ECONNRESET","syscall":"read"}
[2025-10-24T00:13:36.550Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:37.065Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:37.580Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:38.106Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:38.623Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:39.146Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:39.697Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:40.243Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:40.771Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:41.284Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:41.801Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:42.316Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:42.851Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:43.445Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:43.965Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:44.472Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:44.992Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:45.505Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:46.014Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:46.533Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:47.053Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:47.583Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:48.167Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:48.714Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:49.229Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:49.753Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:50.267Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:50.778Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:51.292Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:51.806Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:52.324Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:52.847Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:53.371Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T00:13:53.998Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:01.679Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:01.686Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:01.757Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:01.863Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:02.024Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:02.237Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:02.499Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:02.808Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:03.169Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:03.575Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:04.042Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:04.558Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:05.071Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:05.587Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:06.104Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:06.613Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:07.128Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:07.647Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:08.158Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:08.672Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:09.186Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:09.701Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:10.217Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:10.730Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:11.245Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:11.753Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:12.265Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:12.770Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:13.287Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
[2025-10-24T04:56:13.801Z] ERROR: Redis Client Error {"code":"ECONNREFUSED"}
